# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 6263 1897 10935 7271
p 2 0 6013 2147 12425 6934
p 2 0 5027 3133 9201 5933
p 2 0 5101 3059 11965 6190
p 2 0 5400 2760 9928 6291
p 2 1 4908 3251 11252 6000
p 2 0 4805 3355 9192 5768
p 2 0 4686 3474 10105 5695
p 2 0 4830 3330 8970 5767
p 2 0 5043 3117 10821 6040
p 2 0 5372 2788 9805 6324
p 2 0 4737 3423 10419 5733
p 2 0 4760 3400 8910 5739
p 2 0 4451 3709 9806 5464
p 2 0 4724 3436 8858 5657
p 2 0 4720 3440 10603 5743
p 2 0 5201 2959 9580 6121
p 2 0 4427 3733 9293 5426
p 2 0 4602 3558 8802 5535
p 2 0 4390 3770 9255 5366
p 2 0 4825 3335 8958 5693
p 2 4 4853 3303 11141 5914
p 2 0 5219 2941 9795 6116
p 2 2 4682 3476 10327 5744
p 2 0 4797 3363 9289 5750
p 2 1 4617 3542 10275 5666
p 2 0 4891 3269 9594 5870
p 2 0 4937 3223 10542 5992
p 2 0 5171 2989 10400 6199
p 2 1 4835 3324 10018 5855
p 2 0 5077 3083 10465 6100
p 2 1 4748 3411 10858 5831
p 2 0 5248 2912 10773 6304
p 2 0 6846 1314 15660 8174
p 2 0 5792 2368 11080 6762
p 2 2 5157 3001 11439 6212
p 2 0 5149 3011 10881 6180
p 2 0 4922 3238 11106 5965
p 2 0 4952 3208 10624 6027
p 2 0 5051 3109 11645 6197
p 2 0 5320 2840 11479 6410
p 2 1 4873 3286 12066 6125
p 2 0 4950 3210 10946 6088
p 2 0 4825 3335 11746 6003
p 2 0 4917 3243 10954 6054
p 2 1 5062 3097 12838 6365
p 2 0 5292 2868 11781 6474
p 2 0 5159 3001 12066 6341
p 2 0 5069 3091 11365 6170
p 2 0 4921 3239 11802 6112
p 2 0 5174 2986 11740 6339
p 2 0 5293 2867 13861 6613
p 2 0 5487 2673 12070 6627
p 2 1 5070 3089 12714 6350
p 2 0 5212 2948 11637 6357
p 2 2 5042 3116 13295 6346
p 2 0 5060 3100 11386 6232
p 2 0 5194 2966 13140 6508
p 2 0 5452 2708 12251 6660
p 2 0 5193 2967 12397 6372
p 2 0 5077 3083 11719 6264
p 2 0 5040 3120 13323 6311
p 2 0 5126 3034 11627 6319
p 2 0 5313 2847 13814 6642
p 2 0 5637 2523 12548 6790
p 2 0 5131 3029 13036 6391
p 2 0 5211 2949 11885 6366
p 2 0 5004 3156 12469 6220
p 2 0 5191 2969 11663 6336
p 2 0 5407 2753 13132 6617
p 2 0 5384 2776 12268 6615
p 2 3 5181 2976 13726 6486
p 2 0 4911 3249 11451 6156
p 2 0 5002 3158 13137 6275
p 2 0 5159 3001 11659 6332
p 2 1 5258 2901 13312 6568
p 2 0 5336 2824 11987 6528
p 2 0 4892 3268 11682 6112
p 2 0 5105 3055 11763 6330
p 2 0 4878 3282 11283 6049
p 2 0 4935 3225 11376 6209
p 2 0 6817 1343 16963 8262
p 2 0 5977 2183 11835 6994
p 2 2 5135 3023 12302 6301
p 2 0 5149 3011 11325 6220
p 2 0 4786 3374 12313 6003
p 2 0 4959 3201 10620 6050
p 2 0 4896 3264 12397 6115
p 2 0 5150 3010 10912 6265
p 2 1 4839 3320 11425 5963
p 2 0 5041 3119 10602 6070
p 2 0 5023 3137 12756 6207
p 2 0 5313 2847 11077 6382
p 2 0 4882 3278 11935 6073
p 2 0 4833 3327 10413 5895
p 2 2 4737 3421 11748 5950
p 2 0 4910 3250 10277 5906
p 2 1 4951 3208 11711 6093
p 2 0 5338 2822 10943 6369
p 2 0 4942 3218 11168 6015
p 2 0 4790 3370 10190 5830
p 2 1 4784 3375 11841 5906
p 2 0 4794 3366 10097 5817
p 2 2 4998 3160 11919 6142
p 2 0 5375 2785 11016 6382
p 2 1 5060 3099 11827 6152
p 2 0 4730 3430 10426 5864
p 2 0 4818 3342 10715 5875
p 2 0 4923 3237 10485 5974
p 2 0 5119 3041 11591 6229
p 2 0 5299 2861 11529 6398
p 2 0 4983 3177 11779 6129
p 2 0 4829 3331 10981 6015
p 2 0 4768 3392 11260 5923
p 2 0 4928 3232 11119 6062
p 2 0 5098 3062 12418 6356
p 2 0 5184 2976 11826 6381
p 2 0 4838 3322 11300 6053
p 2 0 4769 3391 11777 6086
i 2 8160 0 0 73431 25806
p 2 0 3471 4689 5801 3959
p 2 0 2883 5277 5023 3519
p 2 0 1596 6564 3299 2434
p 2 0 1981 6179 3756 2729
p 2 0 1187 6973 2655 2068
p 2 312 5511 2337 40749 10247
p 2 0 4932 3228 8891 5724
p 2 0 3647 4513 6499 4230
p 2 52 6622 1486 29041 8996
p 2 0 5387 2773 11270 6495
p 2 0 4265 3895 7074 4805
p 2 18 6181 1961 29877 8569
p 2 0 4664 3496 9240 5523
p 2 0 3578 4582 6267 4247
p 2 0 4099 4061 6701 4555
p 2 0 2713 5447 4392 3310
p 2 0 2589 5571 4678 3291
p 2 0 1753 6407 3504 2570
p 2 0 2365 5795 4242 3094
p 2 0 1452 6708 2890 2293
p 2 0 2211 5949 4508 2989
p 2 0 1977 6183 3450 2706
p 2 0 2198 5962 3858 2920
p 2 0 1374 6786 2910 2247
p 2 0 1808 6352 3299 2582
p 2 0 1192 6968 2461 2060
p 2 0 1742 6418 3323 2522
p 2 0 987 7173 2291 1918
p 2 0 1633 6527 2918 2406
p 2 0 1727 6433 3558 2548
p 2 0 2219 5941 3849 2902
p 2 0 1215 6945 2449 2073
p 2 0 1591 6569 3165 2403
p 2 0 1225 6935 2465 2068
p 2 0 1393 6767 2745 2226
p 2 0 889 7271 2234 1825
p 2 0 1267 6893 2543 2124
p 2 0 1511 6649 3066 2342
p 2 0 1722 6438 3295 2504
p 2 0 1333 6827 2553 2148
p 2 0 1596 6564 2924 2372
p 2 0 959 7201 2393 1895
p 2 0 1257 6903 2480 2099
p 2 0 763 7397 1972 1721
p 2 0 1258 6902 2662 2112
p 2 0 886 7274 2018 1789
p 2 0 1100 7060 2477 1985
i 2 8160 0 0 99766 26775
p 2 0 6729 1431 11476 6917
p 2 0 6494 1666 12976 6956
p 2 0 5856 2304 15075 6744
p 2 0 6494 1666 14236 6992
p 2 0 5486 2674 14047 6333
p 2 0 6791 1369 16900 7476
p 2 0 5450 2710 14155 6360
p 2 0 6047 2113 14836 6727
p 2 0 6051 2109 21994 7836
p 2 0 6884 1276 15976 7586
p 2 0 5878 2282 14611 6740
p 2 0 7085 1075 19152 8151
p 2 0 5599 2561 14342 6569
p 2 0 6254 1906 14812 6957
p 2 0 5571 2589 15213 6616
p 2 0 6221 1939 14214 6893
p 2 0 5086 3074 13927 6144
p 2 0 6618 1542 17239 7524
p 2 0 5502 2658 13692 6442
p 2 0 6255 1905 14458 6926
p 2 0 5427 2733 13954 6360
p 2 0 6176 1984 14673 6933
p 2 0 5415 2745 13897 6363
p 2 0 5828 2332 14254 6671
p 2 0 5196 2964 14123 6240
p 2 0 6137 2023 15278 6980
p 2 0 5419 2741 14003 6411
p 2 0 6068 2092 14642 6855
p 2 0 5654 2506 14292 6571
p 2 0 6039 2121 15569 7004
p 2 0 5182 2978 13425 6167
p 2 0 5905 2255 13964 6664
p 2 0 5934 2226 15579 6883
p 2 0 5823 2337 13986 6597
p 2 0 5392 2768 14399 6444
p 2 0 6403 1757 18270 7607
p 2 0 5829 2331 14303 6782
p 2 0 6012 2148 14435 6825
p 2 0 6540 1620 21690 8179
p 2 0 6045 2115 14230 6892
p 2 0 5749 2411 14414 6692
p 2 0 5864 2296 15993 6914
p 2 0 5769 2391 14571 6743
p 2 0 5815 2345 14157 6677
p 2 0 6271 1889 16273 7204
p 2 0 5812 2348 14197 6714
p 2 0 5809 2351 14114 6665
p 2 0 5921 2239 14191 6729
p 2 0 5773 2387 14159 6668
p 2 0 5828 2332 14248 6671
p 2 0 5639 2521 14420 6650
p 2 0 5823 2337 13996 6691
p 2 0 5938 2222 14300 6778
p 2 0 5973 2187 14403 6851
p 2 0 5792 2368 14209 6734
p 2 0 6201 1959 14307 6950
p 2 0 5878 2282 13994 6784
p 2 0 6714 1446 16000 7569
p 2 0 5986 2174 14635 6945
i 2 8160 0 0 69924 25395
p 2 0 5065 3095 7083 5699
p 2 0 4501 3659 5863 5094
p 2 0 2489 5671 3848 3331
p 2 0 2346 5814 3585 3169
p 2 0 1133 7027 2404 2131
p 2 0 1367 6793 2662 2308
p 2 0 1331 6829 2699 2316
p 2 0 1010 7150 2235 1992
p 2 0 1258 6902 2887 2235
p 2 0 1179 6981 2523 2175
p 2 0 1476 6684 2739 2428
p 2 0 1241 6919 2424 2167
p 2 0 1057 7103 2288 2010
p 2 0 886 7274 2043 1856
p 2 0 935 7225 2096 1910
p 2 0 835 7325 2029 1812
p 2 0 902 7258 2102 1887
p 2 0 1370 6790 2783 2320
p 2 0 1425 6735 2642 2353
p 2 0 875 7285 2060 1873
p 2 0 903 7257 2082 1892
p 2 0 782 7378 1981 1774
p 2 0 640 7520 1828 1665
p 2 0 573 7587 1773 1604
p 2 0 683 7477 1878 1714
p 2 0 607 7553 1805 1624
p 2 0 767 7393 2113 1782
p 2 0 786 7374 2045 1805
p 2 0 963 7197 2159 1953
p 2 0 760 7400 1919 1747
p 2 0 723 7437 1896 1726
p 2 0 597 7563 1750 1631
p 2 0 639 7521 1816 1673
p 2 0 530 7630 1706 1567
p 2 0 624 7536 1802 1651
p 2 0 942 7218 2236 1935
p 2 0 1024 7136 2209 2001
p 2 0 696 7464 1860 1709
p 2 0 790 7370 1912 1778
p 2 0 591 7569 1721 1606
p 2 0 560 7600 1697 1581
p 2 0 444 7716 1583 1495
p 2 0 646 7514 1754 1649
p 2 0 463 7697 1619 1508
p 2 0 721 7439 1960 1728
p 2 0 2940 5220 4784 3782
p 2 0 2459 5701 3964 3326
p 2 236 3027 4897 20420 6023
p 2 0 2329 5831 4251 3316
p 2 0 1985 6175 3319 2850
p 2 607 2902 4651 29900 7715
p 2 0 2595 5565 5275 3776
p 2 0 2672 5488 4128 3515
p 2 411 2821 4928 27329 6862
p 2 0 2852 5308 4978 3887
p 2 0 2461 5699 4179 3358
p 2 471 3029 4660 30635 7507
p 2 0 2364 5796 4609 3415
p 2 0 2150 6010 3571 3024
p 2 0 1326 6834 2548 2296
p 2 0 1618 6542 2873 2528
p 2 0 921 7239 2156 1933
p 2 0 1299 6861 2779 2269
p 2 0 1225 6935 2646 2210
p 2 0 1591 6569 2754 2478
p 2 0 941 7219 2127 1928
p 2 0 1039 7121 2133 1968
p 2 0 761 7399 1933 1765
p 2 0 884 7276 2060 1873
p 2 0 724 7436 1916 1727
p 2 0 1020 7140 2401 1989
p 2 0 837 7323 2039 1849
p 2 0 1051 7109 2187 2012
p 2 0 660 7500 1854 1700
p 2 0 825 7335 1953 1809
p 2 0 773 7387 1906 1759
p 2 0 862 7298 1939 1815
p 2 40 2062 6058 19715 4608
p 2 0 1617 6543 3561 2667
p 2 0 1378 6782 2780 2357
p 2 36 2649 5475 21635 5218
p 2 0 1945 6215 4233 3036
p 2 0 1364 6796 2828 2381
p 2 219 2088 5853 25164 5855
p 2 0 1835 6325 3859 2914
p 2 0 1488 6672 2918 2479
p 2 30 2525 5605 18210 4963
p 2 0 1756 6404 3767 2811
p 2 0 1552 6608 2888 2490
p 2 31 1963 6166 16909 4397
p 2 0 1976 6184 3979 3016
p 2 0 1581 6579 3012 2542
p 2 0 1786 6374 3399 2722
p 2 0 3366 4794 5796 4241
p 2 0 2674 5486 4013 3454
p 2 0 1932 6228 3268 2828
p 2 0 2255 5905 3853 3092
p 2 0 1479 6681 2773 2424
p 2 58 2620 5482 18344 5041
p 2 0 1894 6266 3857 2960
p 2 0 1768 6392 3057 2677
p 2 58 2189 5913 18815 4664
p 2 0 2100 6060 4279 3180
p 2 0 1624 6536 3026 2568
p 2 54 2500 5606 19474 4998
p 2 0 1907 6253 4031 3009
p 2 0 1676 6484 3070 2627
p 2 58 2009 6093 19599 4674
p 2 0 2134 6026 4358 3231
p 2 0 1760 6400 3362 2744
p 2 0 2047 6113 3638 2977
p 2 0 1240 6920 2525 2221
p 2 0 1325 6835 2589 2287
p 2 0 996 7164 2191 1988
p 2 0 1241 6919 2424 2183
p 2 0 880 7280 2091 1873
p 2 0 1046 7114 2212 2005
p 2 0 1236 6924 2654 2216
p 2 0 1058 7102 2228 2031
p 2 312 1919 5929 25431 5944
p 2 0 1707 6453 3727 2834
p 2 0 1325 6835 2619 2301
p 2 112 2094 5954 21759 5044
p 2 0 2063 6097 4155 3134
p 2 0 1759 6401 3113 2670
p 2 128 2240 5792 23291 5487
p 2 0 1956 6204 4102 3032
p 2 0 1413 6747 2810 2403
p 2 593 2393 5174 28863 7638
p 2 0 2165 5995 4328 3387
p 2 0 2139 6021 3477 3045
p 2 264 2157 5739 25220 5802
p 2 0 2002 6158 4015 3091
p 2 0 1455 6705 2831 2435
p 2 109 2309 5742 23597 5343
p 2 0 2178 5982 4248 3207
p 2 0 1744 6416 3076 2686
p 2 111 2245 5804 24923 5459
p 2 0 1955 6205 4062 3032
p 2 0 1478 6682 2796 2437
p 2 884 2119 5157 30332 8244
p 2 0 4105 4055 7267 5244
p 2 0 3139 5021 4521 3966
p 2 357 2814 4989 26896 6664
p 2 0 2295 5865 4234 3336
p 2 0 1834 6326 3136 2736
p 2 142 2655 5363 24861 5851
p 2 0 2492 5668 4689 3494
p 2 0 2254 5906 3673 3130
p 2 137 2528 5495 25775 5825
p 2 0 2072 6088 4223 3193
p 2 0 1578 6582 2986 2553
p 2 1119 2259 4782 32792 9394
p 2 0 2475 5685 4534 3674
p 2 0 2381 5779 3681 3286
p 2 264 2410 5486 25324 6008
p 2 0 2154 6006 4059 3192
p 2 0 1587 6573 2874 2538
p 2 110 2461 5589 23532 5411
p 2 0 2163 5997 4199 3184
p 2 0 1905 6255 3244 2821
p 2 120 2255 5785 24812 5451
p 2 0 1824 6336 3986 2920
p 2 0 1366 6794 2719 2351
p 2 878 2185 5097 30433 8273
p 2 0 2400 5760 4398 3516
p 2 0 2236 5924 3506 3129
p 2 355 2334 5471 26599 6249
p 2 0 2124 6036 4000 3167
p 2 0 1534 6626 2852 2517
p 2 146 2444 5570 24620 5593
p 2 0 2101 6059 4226 3180
p 2 0 1934 6226 3314 2851
p 2 131 2279 5750 25296 5552
p 2 0 1953 6207 4156 3090
p 2 0 1490 6670 2841 2471
p 2 1129 2019 5012 32723 9210
p 2 0 2144 6016 4049 3284
p 2 0 1813 6347 3253 2821
p 2 268 4301 3591 28821 7929
p 2 0 3482 4678 5811 4441
p 2 0 1885 6275 3395 2838
p 2 96 2621 5443 24062 5629
p 2 0 1755 6405 3862 2839
p 2 0 1760 6400 3335 2746
p 2 103 2664 5393 25854 5846
p 2 0 2552 5608 4754 3549
p 2 0 1974 6186 3480 2875
p 2 889 2371 4900 30974 8472
p 2 0 4213 3947 7511 5301
p 2 0 3114 5046 4527 3929
p 2 355 2658 5147 26743 6536
p 2 0 2517 5643 4544 3537
p 2 0 1748 6412 3070 2670
p 2 146 2587 5427 24920 5780
p 2 0 2003 6157 4170 3095
p 2 0 1947 6213 3538 2862
p 2 140 2620 5400 25722 5883
p 2 0 2347 5813 4596 3458
p 2 0 1632 6528 2943 2574
p 2 1126 2182 4852 32801 9351
p 2 0 2058 6102 4126 3328
p 2 0 1919 6241 3389 2909
i 2 8160 0 0 99012 26657
