# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 6977 1183 19834 8476
p 2 0 6793 1367 19833 8321
p 2 0 6994 1166 20408 8503
p 2 0 6931 1229 20014 8392
p 2 0 7106 1054 21029 8680
p 2 0 6865 1295 20101 8402
p 2 0 7152 1008 20658 8625
p 2 0 6817 1343 20724 8485
p 2 0 7174 986 20267 8665
p 2 0 6958 1202 20146 8543
p 2 0 7562 598 23838 9367
p 2 0 6746 1414 19809 8352
p 2 0 6958 1202 21077 8542
p 2 0 6649 1511 20499 8389
p 2 0 6954 1206 20946 8556
p 2 0 6707 1453 20356 8422
p 2 0 7102 1058 21577 8839
p 2 0 6889 1271 20397 8592
p 2 0 7042 1118 20911 8748
p 2 0 6851 1309 20891 8638
p 2 0 6983 1177 21276 8731
p 2 0 6860 1300 20785 8648
p 2 0 7097 1063 21166 8777
p 2 0 6889 1271 21597 8709
p 2 0 7057 1103 22034 8893
p 2 0 6950 1210 21255 8759
p 2 0 7249 911 21851 8951
p 2 0 7030 1130 21647 8835
p 2 0 7206 954 21430 8903
p 2 0 7143 1017 21658 8887
p 2 0 7143 1017 21901 8917
p 2 0 7066 1094 22385 8967
p 2 0 7090 1070 21463 8829
p 2 0 7055 1105 21939 8866
p 2 0 7238 922 21982 9014
p 2 0 7076 1084 21589 8955
p 2 0 7327 833 22379 9134
p 2 0 7075 1085 22181 9005
i 2 8160 0 0 41319 25429
p 2 152 7861 147 27654 12680
p 2 80 7978 102 30700 13557
p 2 63 7945 152 30163 13640
p 2 69 7996 95 32002 14085
p 2 87 7954 119 34885 14746
p 2 71 7948 141 35150 14800
p 2 91 7964 105 39155 15528
p 2 189 7840 131 45860 16673
p 2 82 7979 99 48269 16392
p 2 56 7957 147 58303 16567
p 2 88 7968 104 125139 17119
p 2 12 8023 125 38215 12745
p 2 10 8063 87 33682 12058
p 2 72 7946 142 50440 13035
p 2 12 8128 20 31534 11858
p 2 9 8057 94 28060 11380
p 2 58 8023 79 38529 12435
p 2 8 8064 88 32823 11535
p 2 9 8124 27 29796 11472
p 2 62 8036 62 42953 12674
p 2 10 8059 91 29347 11523
p 2 6 8060 94 28906 11430
p 2 3 8107 50 29896 11194
p 2 2 8118 40 27191 11161
p 2 4 8085 71 30961 11130
p 2 17 8048 95 33987 11834
p 2 6 8094 60 28567 11411
p 2 13 8048 99 24426 10836
p 2 19 8081 60 34739 11583
p 2 3 8069 88 25464 11125
p 2 6 8093 61 30038 11247
p 2 44 7971 145 33610 11697
p 2 4 8101 55 26141 11090
p 2 4 8050 106 26249 10984
p 2 39 8066 55 33844 11835
p 2 2 8045 113 23096 10715
p 2 2 8064 94 25929 10855
p 2 13 8016 131 28688 10843
p 2 2 8042 116 25297 10742
p 2 4 8013 143 24583 10439
p 2 2 8094 64 26945 10978
p 2 8 8037 115 24712 10271
p 2 3 8012 145 22591 10586
p 2 123 7961 76 31453 11484
p 2 1 8060 99 26657 10756
p 2 0 8067 93 23222 10434
p 2 79 7985 96 32571 11217
p 2 0 7984 176 23681 10442
p 2 1 8030 129 23466 10391
p 2 90 7876 194 32084 11135
p 2 3 8064 93 23975 10426
p 2 0 7895 265 21941 10047
p 2 190 7861 109 30853 11142
p 2 0 7955 205 22538 10320
p 2 0 7959 201 21417 9793
p 2 171 7701 288 30129 10765
p 2 0 7876 284 21618 9866
p 2 0 7635 525 19543 9385
p 2 0 7250 910 19161 8936
p 2 1149 6908 103 74801 20425
p 2 563 7584 13 84983 20853
p 2 729 7428 3 93421 21877
p 2 615 7544 1 89203 21626
p 2 700 7458 2 90910 21845
p 2 578 7579 3 88505 21970
p 2 668 7490 2 90061 22319
p 2 572 7588 0 87143 22357
p 2 725 7434 1 89173 22906
p 2 684 7476 0 84898 23190
p 2 709 7449 2 86180 23205
p 2 612 7546 2 82409 23220
p 2 21 8107 32 36186 13698
p 2 50 8030 80 43239 14329
p 2 139 7951 70 47131 15417
p 2 254 7822 84 52795 15598
p 2 283 7859 18 57884 17052
p 2 359 7778 23 69785 18129
p 2 402 7758 0 72948 19471
p 2 762 7396 2 80767 20695
p 2 839 7321 0 85619 21815
p 2 974 7186 0 86186 22094
p 2 912 7248 0 85113 22437
p 2 959 7200 1 89511 22251
p 2 607 7543 10 76541 20894
p 2 680 7479 1 81768 21061
p 2 631 7529 0 89922 21430
p 2 504 7653 3 79375 20203
p 2 330 7830 0 76433 19853
p 2 334 7826 0 95351 20258
p 2 126 8031 3 73759 18925
p 2 86 8070 4 74059 17868
p 2 86 8070 4 94310 19047
p 2 37 8100 23 63022 16319
p 2 25 8101 34 64945 16874
p 2 48 7850 262 64460 14349
p 2 0 7122 1038 16318 9580
p 2 0 5835 2325 10590 7192
p 2 10 5685 2465 14025 7456
p 2 0 4857 3303 8695 6097
p 2 0 4652 3508 8836 5887
p 2 20 4499 3641 11743 6034
p 2 0 4603 3557 9123 5808
p 2 0 4377 3783 9130 5579
p 2 12 3823 4325 12749 5452
p 2 0 3018 5142 6247 4206
p 2 0 3164 4996 6443 4288
p 2 7 2789 5364 10139 4314
p 2 0 3058 5102 6579 4210
p 2 0 3084 5076 6738 4253
p 2 8 2578 5574 7955 4015
p 2 0 1970 6190 4451 3151
p 2 0 2024 6136 4550 3166
p 2 36 1946 6178 8532 3548
p 2 0 2177 5983 4984 3322
p 2 0 2730 5430 6310 3879
p 2 91 4209 3860 16471 6374
p 2 0 2576 5584 5343 3683
p 2 0 2403 5757 4990 3500
p 2 47 1983 6130 9942 3725
p 2 0 2173 5987 5108 3354
p 2 0 1742 6418 3963 2847
p 2 13 1677 6470 9157 3291
p 2 0 1600 6560 4112 2791
p 2 1 1862 6297 4410 2993
p 2 9 1765 6386 6792 3243
p 2 1 1433 6726 3980 2672
p 2 1 1105 7054 3283 2301
p 2 19 1329 6812 6510 2808
p 2 0 1197 6963 3525 2420
p 2 1 1263 6896 3807 2499
p 2 8 1473 6679 4728 2775
p 2 1 1275 6884 3548 2459
p 2 0 1083 7077 3395 2303
p 2 34 1150 6976 7585 2856
p 2 0 1050 7110 3523 2316
p 2 1 988 7171 3359 2235
p 2 0 1237 6923 6588 2761
p 2 0 1206 6954 3757 2464
p 2 0 1243 6917 3670 2449
p 2 21 1318 6821 8812 3049
p 2 0 1151 7009 3642 2408
p 2 0 1074 7086 3213 2283
p 2 6 1140 7014 7188 2727
p 2 0 1041 7119 3607 2318
p 2 0 956 7204 3350 2219
p 2 0 1432 6728 5922 2838
i 2 8160 0 0 81197 26607
i 2 8160 0 0 90209 27259
p 2 0 3681 4479 5079 4225
p 2 0 3706 4454 5045 4284
i 2 8160 0 0 87872 27155
p 2 0 7008 1152 20581 8447
p 2 700 6027 1433 62693 13239
p 2 0 6076 2084 16356 7580
p 2 132 5116 2912 28955 8147
p 2 0 4180 3980 6875 4939
p 2 2 4686 3472 17837 6511
p 2 0 3872 4288 7250 4762
p 2 0 3190 4970 5672 3959
p 2 7 3692 4461 18292 5696
p 2 0 2247 5913 4398 3211
p 2 0 2253 5907 3689 3061
p 2 0 2331 5829 4069 3122
p 2 0 4208 3952 7609 4927
p 2 0 2972 5188 4590 3648
p 2 0 2249 5911 3521 3006
p 2 0 1775 6385 2814 2546
p 2 0 1799 6361 3079 2610
p 2 0 1219 6941 2394 2103
p 2 0 1441 6719 3173 2376
p 2 0 1660 6500 3067 2479
p 2 0 1503 6657 2677 2352
p 2 0 925 7235 2123 1884
p 2 0 1130 7030 2224 2020
p 2 0 796 7364 1891 1744
p 2 0 951 7209 2079 1872
p 2 0 733 7427 1910 1720
p 2 0 904 7256 2004 1830
p 2 0 1254 6906 2532 2127
p 2 0 1441 6719 2738 2302
p 2 0 712 7448 1886 1709
p 2 0 971 7189 2108 1899
p 2 0 634 7526 1738 1612
p 2 0 497 7663 1650 1520
p 2 0 573 7587 1705 1569
p 2 0 626 7534 1793 1635
p 2 0 552 7608 1657 1547
p 2 0 682 7478 1963 1682
p 2 0 1014 7146 2136 1903
p 2 0 1051 7109 2136 1955
p 2 0 697 7463 1773 1653
p 2 0 767 7393 1801 1706
p 2 0 604 7556 1659 1571
p 2 0 802 7358 1812 1722
p 2 0 667 7493 1738 1616
p 2 0 646 7514 1740 1628
p 2 0 872 7288 2029 1808
p 2 0 923 7237 2083 1865
p 2 0 543 7617 1667 1549
p 2 0 651 7509 1747 1637
p 2 0 506 7654 1593 1511
p 2 0 492 7668 1602 1511
p 2 0 404 7756 1512 1432
p 2 0 589 7571 1630 1564
p 2 0 438 7722 1512 1444
p 2 0 645 7515 1817 1632
p 2 0 651 7509 1931 1652
p 2 0 752 7408 1875 1722
p 2 0 743 7417 1894 1710
p 2 0 645 7515 1797 1634
p 2 0 503 7657 1698 1531
p 2 0 2587 5573 5167 3417
p 2 0 1793 6367 3313 2674
p 2 0 1977 6183 3104 2701
